Date,Stock,Close
,,HDFCBANK.NS
2015-01-01,HDFCBANK.NS,440.3434143066406
2015-01-02,HDFCBANK.NS,446.47186279296875
2015-01-05,HDFCBANK.NS,442.7023010253906
2015-01-06,HDFCBANK.NS,435.8106994628906
2015-01-07,HDFCBANK.NS,437.08258056640625
2015-01-08,HDFCBANK.NS,446.263671875
2015-01-09,HDFCBANK.NS,451.2589111328125
2015-01-12,HDFCBANK.NS,447.28125
2015-01-13,HDFCBANK.NS,445.5699462890625
2015-01-14,HDFCBANK.NS,445.8243103027344
2015-01-15,HDFCBANK.NS,459.3530578613281
2015-01-16,HDFCBANK.NS,463.1457214355469
2015-01-19,HDFCBANK.NS,464.6258239746094
2015-01-20,HDFCBANK.NS,472.21112060546875
2015-01-21,HDFCBANK.NS,471.7486267089844
2015-01-22,HDFCBANK.NS,472.349853515625
2015-01-23,HDFCBANK.NS,482.3172607421875
2015-01-27,HDFCBANK.NS,496.7710266113281
2015-01-28,HDFCBANK.NS,489.5093994140625
2015-01-29,HDFCBANK.NS,506.4609069824219
2015-01-30,HDFCBANK.NS,498.29736328125
2015-02-02,HDFCBANK.NS,500.2630920410156
2015-02-03,HDFCBANK.NS,492.1689147949219
2015-02-04,HDFCBANK.NS,493.8339538574219
2015-02-05,HDFCBANK.NS,497.9041442871094
2015-02-06,HDFCBANK.NS,487.2662353515625
2015-02-09,HDFCBANK.NS,481.0684509277344
2015-02-10,HDFCBANK.NS,487.70562744140625
2015-02-11,HDFCBANK.NS,489.5325927734375
2015-02-12,HDFCBANK.NS,497.6729431152344
2015-02-13,HDFCBANK.NS,492.9552307128906
2015-02-16,HDFCBANK.NS,493.7646179199219
2015-02-18,HDFCBANK.NS,497.117919921875
2015-02-19,HDFCBANK.NS,499.4305114746094
2015-02-20,HDFCBANK.NS,496.30853271484375
2015-02-23,HDFCBANK.NS,493.741455078125
2015-02-24,HDFCBANK.NS,493.8109436035156
2015-02-25,HDFCBANK.NS,486.7805480957031
2015-02-26,HDFCBANK.NS,480.16650390625
2015-02-27,HDFCBANK.NS,487.4974365234375
2015-03-02,HDFCBANK.NS,500.702392578125
2015-03-03,HDFCBANK.NS,501.07244873046875
2015-03-04,HDFCBANK.NS,492.72393798828125
2015-03-05,HDFCBANK.NS,501.8818664550781
2015-03-09,HDFCBANK.NS,489.81005859375
2015-03-10,HDFCBANK.NS,486.82684326171875
2015-03-11,HDFCBANK.NS,488.6306457519531
2015-03-12,HDFCBANK.NS,487.7750244140625
2015-03-13,HDFCBANK.NS,482.24786376953125
2015-03-16,HDFCBANK.NS,486.3643493652344
2015-03-17,HDFCBANK.NS,489.37066650390625
2015-03-18,HDFCBANK.NS,491.91461181640625
2015-03-19,HDFCBANK.NS,486.6649475097656
2015-03-20,HDFCBANK.NS,488.3763122558594
2015-03-23,HDFCBANK.NS,484.60662841796875
2015-03-24,HDFCBANK.NS,480.073974609375
2015-03-25,HDFCBANK.NS,478.3626708984375
2015-03-26,HDFCBANK.NS,465.73590087890625
2015-03-27,HDFCBANK.NS,469.2972412109375
2015-03-30,HDFCBANK.NS,479.5883483886719
2015-03-31,HDFCBANK.NS,473.0205383300781
2015-04-01,HDFCBANK.NS,477.900146484375
2015-04-06,HDFCBANK.NS,477.298828125
2015-04-07,HDFCBANK.NS,477.6689147949219
2015-04-08,HDFCBANK.NS,478.96392822265625
2015-04-09,HDFCBANK.NS,488.4688415527344
2015-04-10,HDFCBANK.NS,482.24786376953125
2015-04-13,HDFCBANK.NS,480.4671630859375
2015-04-15,HDFCBANK.NS,477.16015625
2015-04-16,HDFCBANK.NS,476.235107421875
2015-04-17,HDFCBANK.NS,470.96234130859375
2015-04-20,HDFCBANK.NS,464.88018798828125
2015-04-21,HDFCBANK.NS,463.90887451171875
2015-04-22,HDFCBANK.NS,468.58038330078125
2015-04-23,HDFCBANK.NS,468.7653503417969
2015-04-24,HDFCBANK.NS,465.5045471191406
2015-04-27,HDFCBANK.NS,465.04205322265625
2015-04-28,HDFCBANK.NS,464.6258239746094
2015-04-29,HDFCBANK.NS,459.3530578613281
2015-04-30,HDFCBANK.NS,457.34112548828125
2015-05-04,HDFCBANK.NS,462.9607238769531
2015-05-05,HDFCBANK.NS,456.8092346191406
2015-05-06,HDFCBANK.NS,448.9231872558594
2015-05-07,HDFCBANK.NS,439.9964904785156
2015-05-08,HDFCBANK.NS,454.1959228515625
2015-05-11,HDFCBANK.NS,458.0348815917969
2015-05-12,HDFCBANK.NS,449.5476379394531
2015-05-13,HDFCBANK.NS,458.01171875
2015-05-14,HDFCBANK.NS,458.38177490234375
2015-05-15,HDFCBANK.NS,457.94232177734375
2015-05-18,HDFCBANK.NS,467.0771789550781
2015-05-19,HDFCBANK.NS,466.0133056640625
2015-05-20,HDFCBANK.NS,473.64495849609375
2015-05-21,HDFCBANK.NS,473.94561767578125
2015-05-22,HDFCBANK.NS,473.7606201171875
2015-05-25,HDFCBANK.NS,473.4137268066406
2015-05-26,HDFCBANK.NS,475.1944580078125
2015-05-27,HDFCBANK.NS,480.16650390625
2015-05-28,HDFCBANK.NS,476.11944580078125
2015-05-29,HDFCBANK.NS,485.90179443359375
2015-06-01,HDFCBANK.NS,479.2646179199219
2015-06-02,HDFCBANK.NS,466.591552734375
2015-06-03,HDFCBANK.NS,465.0882873535156
2015-06-04,HDFCBANK.NS,469.4360046386719
2015-06-05,HDFCBANK.NS,467.9559631347656
2015-06-08,HDFCBANK.NS,464.1170349121094
2015-06-09,HDFCBANK.NS,463.3769836425781
2015-06-10,HDFCBANK.NS,469.73663330078125
