Date,Stock,Close
,,KOTAKBANK.NS
2015-01-01,KOTAKBANK.NS,625.5152587890625
2015-01-02,KOTAKBANK.NS,631.9512939453125
2015-01-05,KOTAKBANK.NS,629.41650390625
2015-01-06,KOTAKBANK.NS,621.9119873046875
2015-01-07,KOTAKBANK.NS,631.9263916015625
2015-01-08,KOTAKBANK.NS,666.2933959960938
2015-01-09,KOTAKBANK.NS,676.3824462890625
2015-01-12,KOTAKBANK.NS,681.377197265625
2015-01-13,KOTAKBANK.NS,692.2861328125
2015-01-14,KOTAKBANK.NS,691.4163818359375
2015-01-15,KOTAKBANK.NS,695.9888305664062
2015-01-16,KOTAKBANK.NS,693.47900390625
2015-01-19,KOTAKBANK.NS,690.546630859375
2015-01-20,KOTAKBANK.NS,693.6528930664062
2015-01-21,KOTAKBANK.NS,689.900634765625
2015-01-22,KOTAKBANK.NS,689.652099609375
2015-01-23,KOTAKBANK.NS,688.4842529296875
2015-01-27,KOTAKBANK.NS,689.9999389648438
2015-01-28,KOTAKBANK.NS,671.5119018554688
2015-01-29,KOTAKBANK.NS,661.6962890625
2015-01-30,KOTAKBANK.NS,657.1239013671875
2015-02-02,KOTAKBANK.NS,672.1082763671875
2015-02-03,KOTAKBANK.NS,649.2218017578125
2015-02-04,KOTAKBANK.NS,641.8662109375
2015-02-05,KOTAKBANK.NS,640.0771484375
2015-02-06,KOTAKBANK.NS,629.6401977539062
2015-02-09,KOTAKBANK.NS,629.3171997070312
2015-02-10,KOTAKBANK.NS,639.0086059570312
2015-02-11,KOTAKBANK.NS,645.444580078125
2015-02-12,KOTAKBANK.NS,644.40087890625
2015-02-13,KOTAKBANK.NS,650.8120727539062
2015-02-16,KOTAKBANK.NS,642.33837890625
2015-02-18,KOTAKBANK.NS,649.96728515625
2015-02-19,KOTAKBANK.NS,649.69384765625
2015-02-20,KOTAKBANK.NS,645.2210693359375
2015-02-23,KOTAKBANK.NS,654.4649658203125
2015-02-24,KOTAKBANK.NS,671.08935546875
2015-02-25,KOTAKBANK.NS,667.2376708984375
2015-02-26,KOTAKBANK.NS,662.6653442382812
2015-02-27,KOTAKBANK.NS,664.8521728515625
2015-03-02,KOTAKBANK.NS,698.1258544921875
2015-03-03,KOTAKBANK.NS,700.11376953125
2015-03-04,KOTAKBANK.NS,700.8842163085938
2015-03-05,KOTAKBANK.NS,701.878173828125
2015-03-09,KOTAKBANK.NS,678.1964111328125
2015-03-10,KOTAKBANK.NS,669.8469848632812
2015-03-11,KOTAKBANK.NS,683.8125
2015-03-12,KOTAKBANK.NS,680.880126953125
2015-03-13,KOTAKBANK.NS,666.5916748046875
2015-03-16,KOTAKBANK.NS,653.5206298828125
2015-03-17,KOTAKBANK.NS,665.7965087890625
2015-03-18,KOTAKBANK.NS,667.4116821289062
2015-03-19,KOTAKBANK.NS,658.8633422851562
2015-03-20,KOTAKBANK.NS,665.8211669921875
2015-03-23,KOTAKBANK.NS,663.9078369140625
2015-03-24,KOTAKBANK.NS,666.3431396484375
2015-03-25,KOTAKBANK.NS,659.285888671875
2015-03-26,KOTAKBANK.NS,648.7745361328125
2015-03-27,KOTAKBANK.NS,645.6682739257812
2015-03-30,KOTAKBANK.NS,651.9800415039062
2015-03-31,KOTAKBANK.NS,652.67578125
2015-04-01,KOTAKBANK.NS,676.43212890625
2015-04-06,KOTAKBANK.NS,694.59716796875
2015-04-07,KOTAKBANK.NS,689.2545166015625
2015-04-08,KOTAKBANK.NS,681.6753540039062
2015-04-09,KOTAKBANK.NS,710.9979248046875
2015-04-10,KOTAKBANK.NS,706.9226684570312
2015-04-13,KOTAKBANK.NS,718.452880859375
2015-04-15,KOTAKBANK.NS,717.6080322265625
2015-04-16,KOTAKBANK.NS,704.9346923828125
2015-04-17,KOTAKBANK.NS,689.10546875
2015-04-20,KOTAKBANK.NS,681.3275146484375
2015-04-21,KOTAKBANK.NS,672.4313354492188
2015-04-22,KOTAKBANK.NS,677.0283813476562
2015-04-23,KOTAKBANK.NS,684.6325073242188
2015-04-24,KOTAKBANK.NS,680.0105590820312
2015-04-27,KOTAKBANK.NS,664.4048461914062
2015-04-28,KOTAKBANK.NS,666.9893188476562
2015-04-29,KOTAKBANK.NS,660.901123046875
2015-04-30,KOTAKBANK.NS,662.4417114257812
2015-05-04,KOTAKBANK.NS,665.3739624023438
2015-05-05,KOTAKBANK.NS,707.3450317382812
2015-05-06,KOTAKBANK.NS,671.5366821289062
2015-05-07,KOTAKBANK.NS,650.166015625
2015-05-08,KOTAKBANK.NS,660.751953125
2015-05-11,KOTAKBANK.NS,665.498291015625
2015-05-12,KOTAKBANK.NS,655.4589233398438
2015-05-13,KOTAKBANK.NS,666.7158813476562
2015-05-14,KOTAKBANK.NS,659.41015625
2015-05-15,KOTAKBANK.NS,668.2317504882812
2015-05-18,KOTAKBANK.NS,678.0721435546875
2015-05-19,KOTAKBANK.NS,684.5082397460938
2015-05-20,KOTAKBANK.NS,688.2108764648438
2015-05-21,KOTAKBANK.NS,694.5474853515625
2015-05-22,KOTAKBANK.NS,689.4781494140625
2015-05-25,KOTAKBANK.NS,683.4148559570312
2015-05-26,KOTAKBANK.NS,687.0429077148438
2015-05-27,KOTAKBANK.NS,683.1414794921875
2015-05-28,KOTAKBANK.NS,679.960693359375
2015-05-29,KOTAKBANK.NS,695.4420166015625
2015-06-01,KOTAKBANK.NS,692.186767578125
2015-06-02,KOTAKBANK.NS,675.5624389648438
2015-06-03,KOTAKBANK.NS,668.9274291992188
2015-06-04,KOTAKBANK.NS,678.395263671875
2015-06-05,KOTAKBANK.NS,674.0962524414062
2015-06-08,KOTAKBANK.NS,672.3567504882812
2015-06-09,KOTAKBANK.NS,661.4725952148438
2015-06-10,KOTAKBANK.NS,663.2866821289062
2015-06-11,KOTAKBANK.NS,636.5980224609375
2015-06-12,KOTAKBANK.NS,651.6072998046875
2015-06-15,KOTAKBANK.NS,640.9715576171875
2015-06-16,KOTAKBANK.NS,640.6983032226562
2015-06-17,KOTAKBANK.NS,643.630615234375
2015-06-18,KOTAKBANK.NS,650.2203369140625
2015-06-19,KOTAKBANK.NS,660.5401000976562
2015-06-22,KOTAKBANK.NS,675.3359375
2015-06-23,KOTAKBANK.NS,686.5508422851562
2015-06-24,KOTAKBANK.NS,688.2169189453125
2015-06-25,KOTAKBANK.NS,699.5562744140625
2015-06-26,KOTAKBANK.NS,686.476318359375
2015-06-29,KOTAKBANK.NS,680.5828857421875
2015-06-30,KOTAKBANK.NS,689.211669921875
2015-07-01,KOTAKBANK.NS,700.3768310546875
2015-07-02,KOTAKBANK.NS,713.8546752929688
2015-07-03,KOTAKBANK.NS,710.6220092773438
2015-07-06,KOTAKBANK.NS,718.1070556640625
2015-07-07,KOTAKBANK.NS,709.005615234375
2015-07-08,KOTAKBANK.NS,703.3360595703125
