Date,Stock,Close
,,SHREECEM.NS
2015-01-01,SHREECEM.NS,9024.732421875
2015-01-02,SHREECEM.NS,8975.0283203125
2015-01-05,SHREECEM.NS,8952.55859375
2015-01-06,SHREECEM.NS,8734.869140625
2015-01-07,SHREECEM.NS,8722.9833984375
2015-01-08,SHREECEM.NS,8817.052734375
2015-01-09,SHREECEM.NS,8842.6025390625
2015-01-12,SHREECEM.NS,8855.8349609375
2015-01-13,SHREECEM.NS,8884.564453125
2015-01-14,SHREECEM.NS,8913.919921875
2015-01-15,SHREECEM.NS,9598.7431640625
2015-01-16,SHREECEM.NS,9546.96875
2015-01-19,SHREECEM.NS,9871.240234375
2015-01-20,SHREECEM.NS,10062.9931640625
2015-01-21,SHREECEM.NS,10034.9892578125
2015-01-22,SHREECEM.NS,10493.900390625
2015-01-23,SHREECEM.NS,10614.9658203125
2015-01-27,SHREECEM.NS,10440.537109375
2015-01-28,SHREECEM.NS,10641.6240234375
2015-01-29,SHREECEM.NS,10484.998046875
2015-01-30,SHREECEM.NS,10556.9833984375
2015-02-02,SHREECEM.NS,10487.7392578125
2015-02-03,SHREECEM.NS,10440.150390625
2015-02-04,SHREECEM.NS,10286.12109375
2015-02-05,SHREECEM.NS,10587.921875
2015-02-06,SHREECEM.NS,10656.4453125
2015-02-09,SHREECEM.NS,10650.3310546875
2015-02-10,SHREECEM.NS,10588.7421875
2015-02-11,SHREECEM.NS,10667.703125
2015-02-12,SHREECEM.NS,10696.287109375
2015-02-13,SHREECEM.NS,10874.662109375
2015-02-16,SHREECEM.NS,10646.1455078125
2015-02-18,SHREECEM.NS,10488.89453125
2015-02-19,SHREECEM.NS,10589.6552734375
2015-02-20,SHREECEM.NS,10691.33203125
2015-02-23,SHREECEM.NS,10692.822265625
2015-02-24,SHREECEM.NS,10575.3134765625
2015-02-25,SHREECEM.NS,10647.7822265625
2015-02-26,SHREECEM.NS,10579.6484375
2015-02-27,SHREECEM.NS,10587.201171875
2015-03-02,SHREECEM.NS,11017.8154296875
2015-03-03,SHREECEM.NS,11023.0126953125
2015-03-04,SHREECEM.NS,10815.33203125
2015-03-05,SHREECEM.NS,10734.4443359375
2015-03-09,SHREECEM.NS,10686.1826171875
2015-03-10,SHREECEM.NS,10603.03125
2015-03-11,SHREECEM.NS,10258.2119140625
2015-03-12,SHREECEM.NS,10286.41015625
2015-03-13,SHREECEM.NS,10294.1572265625
2015-03-16,SHREECEM.NS,10284.388671875
2015-03-17,SHREECEM.NS,10300.556640625
2015-03-18,SHREECEM.NS,10432.8369140625
2015-03-19,SHREECEM.NS,10608.904296875
2015-03-20,SHREECEM.NS,10622.56640625
2015-03-23,SHREECEM.NS,10390.634765625
2015-03-24,SHREECEM.NS,10188.103515625
2015-03-25,SHREECEM.NS,10650.9599609375
2015-03-26,SHREECEM.NS,10650.046875
2015-03-27,SHREECEM.NS,10496.689453125
2015-03-30,SHREECEM.NS,10347.859375
2015-03-31,SHREECEM.NS,10387.701171875
