Date,Stock,Close
,,TECHM.NS
2015-01-01,TECHM.NS,505.0889587402344
2015-01-02,TECHM.NS,507.56121826171875
2015-01-05,TECHM.NS,499.0928649902344
2015-01-06,TECHM.NS,493.7395324707031
2015-01-07,TECHM.NS,491.4325256347656
2015-01-08,TECHM.NS,499.65753173828125
2015-01-09,TECHM.NS,521.7916870117188
2015-01-12,TECHM.NS,536.12939453125
2015-01-13,TECHM.NS,537.5115966796875
2015-01-14,TECHM.NS,543.4393920898438
2015-01-15,TECHM.NS,541.5413208007812
2015-01-16,TECHM.NS,548.3840942382812
2015-01-19,TECHM.NS,545.133056640625
2015-01-20,TECHM.NS,545.4347534179688
2015-01-21,TECHM.NS,544.403076171875
2015-01-22,TECHM.NS,536.927734375
2015-01-23,TECHM.NS,541.3368530273438
2015-01-27,TECHM.NS,548.32568359375
2015-01-28,TECHM.NS,559.3636474609375
2015-01-29,TECHM.NS,565.4082641601562
2015-01-30,TECHM.NS,558.4194946289062
2015-02-02,TECHM.NS,563.5879516601562
2015-02-03,TECHM.NS,568.2797241210938
2015-02-04,TECHM.NS,555.2560424804688
2015-02-05,TECHM.NS,558.2734985351562
2015-02-06,TECHM.NS,556.8328857421875
2015-02-09,TECHM.NS,549.0654907226562
2015-02-10,TECHM.NS,537.7842407226562
2015-02-11,TECHM.NS,553.2119750976562
2015-02-12,TECHM.NS,566.3621215820312
2015-02-13,TECHM.NS,561.933349609375
2015-02-16,TECHM.NS,564.4640502929688
2015-02-18,TECHM.NS,563.04296875
2015-02-19,TECHM.NS,550.953857421875
2015-02-20,TECHM.NS,547.070068359375
2015-02-23,TECHM.NS,540.9475708007812
2015-02-24,TECHM.NS,543.3908081054688
2015-02-25,TECHM.NS,537.7938842773438
2015-02-26,TECHM.NS,534.9808349609375
2015-02-27,TECHM.NS,552.0439453125
2015-03-02,TECHM.NS,556.7745971679688
2015-03-03,TECHM.NS,566.2064819335938
2015-03-04,TECHM.NS,560.560791015625
2015-03-05,TECHM.NS,560.298095703125
2015-03-09,TECHM.NS,547.2939453125
2015-03-10,TECHM.NS,552.832275390625
2015-03-11,TECHM.NS,568.766357421875
2015-03-12,TECHM.NS,556.1807250976562
2015-03-13,TECHM.NS,548.6663818359375
2015-03-16,TECHM.NS,550.5256958007812
2015-03-17,TECHM.NS,557.3294067382812
2015-03-18,TECHM.NS,545.1817626953125
2015-03-19,TECHM.NS,535.0781860351562
2015-03-20,TECHM.NS,528.1868286132812
2015-03-23,TECHM.NS,511.4448547363281
2015-03-24,TECHM.NS,513.6643676757812
2015-03-25,TECHM.NS,511.0944519042969
2015-03-26,TECHM.NS,507.0453186035156
2015-03-27,TECHM.NS,502.95709228515625
2015-03-30,TECHM.NS,488.2009582519531
2015-03-31,TECHM.NS,490.3423767089844
2015-04-01,TECHM.NS,492.6783447265625
2015-04-06,TECHM.NS,500.9714050292969
2015-04-07,TECHM.NS,508.3690185546875
2015-04-08,TECHM.NS,523.5145874023438
2015-04-09,TECHM.NS,522.03515625
2015-04-10,TECHM.NS,514.0923461914062
2015-04-13,TECHM.NS,517.3629760742188
2015-04-15,TECHM.NS,513.81982421875
2015-04-16,TECHM.NS,510.86090087890625
2015-04-17,TECHM.NS,499.1804504394531
2015-04-20,TECHM.NS,492.36688232421875
2015-04-21,TECHM.NS,496.4162292480469
2015-04-22,TECHM.NS,490.420166015625
2015-04-23,TECHM.NS,479.05133056640625
2015-04-24,TECHM.NS,457.48150634765625
2015-04-27,TECHM.NS,457.286865234375
2015-04-28,TECHM.NS,473.9118957519531
2015-04-29,TECHM.NS,480.3751220703125
2015-04-30,TECHM.NS,483.84027099609375
2015-05-04,TECHM.NS,476.3647766113281
2015-05-05,TECHM.NS,474.963134765625
2015-05-06,TECHM.NS,474.1456604003906
2015-05-07,TECHM.NS,478.31158447265625
2015-05-08,TECHM.NS,483.8791809082031
2015-05-11,TECHM.NS,491.5882568359375
2015-05-12,TECHM.NS,479.83001708984375
2015-05-13,TECHM.NS,479.94677734375
2015-05-14,TECHM.NS,479.245849609375
2015-05-15,TECHM.NS,481.5041809082031
2015-05-18,TECHM.NS,477.0266418457031
2015-05-19,TECHM.NS,482.2049560546875
2015-05-20,TECHM.NS,498.9858093261719
2015-05-21,TECHM.NS,510.5104675292969
2015-05-22,TECHM.NS,519.426513671875
2015-05-25,TECHM.NS,504.9428405761719
2015-05-26,TECHM.NS,498.5575866699219
2015-05-27,TECHM.NS,427.57977294921875
2015-05-28,TECHM.NS,424.4649963378906
2015-05-29,TECHM.NS,431.70684814453125
2015-06-01,TECHM.NS,428.747802734375
2015-06-02,TECHM.NS,427.8133544921875
2015-06-03,TECHM.NS,426.21697998046875
2015-06-04,TECHM.NS,433.9261169433594
2015-06-05,TECHM.NS,431.0060119628906
2015-06-08,TECHM.NS,428.7088928222656
2015-06-09,TECHM.NS,420.8830261230469
2015-06-10,TECHM.NS,433.186279296875
2015-06-11,TECHM.NS,434.15972900390625
2015-06-12,TECHM.NS,429.40966796875
2015-06-15,TECHM.NS,431.4342956542969
2015-06-16,TECHM.NS,429.40966796875
2015-06-17,TECHM.NS,427.6187438964844
2015-06-18,TECHM.NS,421.4281311035156
2015-06-19,TECHM.NS,423.7252197265625
2015-06-22,TECHM.NS,429.40966796875
2015-06-23,TECHM.NS,431.0838928222656
2015-06-24,TECHM.NS,424.62066650390625
2015-06-25,TECHM.NS,412.55096435546875
2015-06-26,TECHM.NS,406.32147216796875
2015-06-29,TECHM.NS,376.3807678222656
2015-06-30,TECHM.NS,372.0589904785156
2015-07-01,TECHM.NS,378.5611267089844
2015-07-02,TECHM.NS,373.22705078125
2015-07-03,TECHM.NS,367.2311096191406
2015-07-06,TECHM.NS,361.7413635253906
2015-07-07,TECHM.NS,367.0753479003906
2015-07-08,TECHM.NS,366.2189025878906
2015-07-09,TECHM.NS,369.3335876464844
2015-07-10,TECHM.NS,369.1000061035156
2015-07-13,TECHM.NS,370.5016174316406
2015-07-14,TECHM.NS,371.35821533203125
2015-07-15,TECHM.NS,373.7332458496094
2015-07-16,TECHM.NS,382.9607238769531
2015-07-17,TECHM.NS,391.02020263671875
2015-07-20,TECHM.NS,389.968994140625
2015-07-21,TECHM.NS,396.6656799316406
2015-07-22,TECHM.NS,397.2497863769531
2015-07-23,TECHM.NS,394.01910400390625
2015-07-24,TECHM.NS,402.6866455078125
2015-07-27,TECHM.NS,409.38433837890625
2015-07-28,TECHM.NS,412.5361328125
2015-07-29,TECHM.NS,414.1120910644531
2015-07-30,TECHM.NS,413.1664733886719
2015-07-31,TECHM.NS,418.1700744628906
2015-08-03,TECHM.NS,412.57550048828125
2015-08-04,TECHM.NS,427.11334228515625
2015-08-05,TECHM.NS,433.8504333496094
2015-08-06,TECHM.NS,420.6914978027344
2015-08-07,TECHM.NS,421.67645263671875
2015-08-10,TECHM.NS,418.36700439453125
2015-08-11,TECHM.NS,426.01025390625
2015-08-12,TECHM.NS,439.3266906738281
2015-08-13,TECHM.NS,434.4020080566406
2015-08-14,TECHM.NS,437.3569030761719
2015-08-17,TECHM.NS,434.8748474121094
2015-08-18,TECHM.NS,443.1877746582031
2015-08-19,TECHM.NS,441.4936828613281
2015-08-20,TECHM.NS,440.3905944824219
2015-08-21,TECHM.NS,443.6605529785156
2015-08-24,TECHM.NS,412.6149597167969
2015-08-25,TECHM.NS,416.0426025390625
